N,NB,Time(s),GFLOPS,Efficiency(%),Status
1000,1,0.15,4.3225,7.204166666666666,PASSED
1000,2,0.09,7.0446,11.741,PASSED
1000,4,0.05,13.0,21.666666666666668,PASSED
1000,8,0.03,21.254,35.42333333333333,PASSED
1000,16,0.03,19.143,31.905,PASSED
1000,32,0.03,24.541,40.90166666666667,PASSED
1000,64,0.03,21.697,36.16166666666666,PASSED
1000,128,0.03,20.603,34.33833333333334,PASSED
1000,256,0.03,20.368,33.946666666666665,PASSED
5000,1,49.26,1.6924,2.8206666666666664,PASSED
5000,2,23.01,3.6232,6.038666666666667,PASSED
5000,4,11.23,7.4245,12.374166666666667,PASSED
5000,8,5.96,14.0,23.333333333333332,PASSED
5000,16,3.51,23.728,39.54666666666667,PASSED
5000,32,2.53,32.994,54.989999999999995,PASSED
5000,64,1.97,42.309,70.515,PASSED
5000,128,1.69,49.458,82.42999999999999,PASSED
5000,256,1.8,46.342,77.23666666666666,PASSED
10000,1,315.72,2.112,3.52,PASSED
10000,2,163.06,4.0893,6.815499999999999,PASSED
10000,4,82.66,8.0665,13.444166666666666,PASSED
10000,8,45.86,14.541,24.235,PASSED
10000,16,26.03,25.622,42.70333333333333,PASSED
10000,32,17.29,38.563,64.27166666666668,PASSED
10000,64,12.94,51.549,85.91499999999999,PASSED
10000,128,12.81,52.066,86.77666666666667,PASSED
10000,256,12.62,52.844,88.07333333333334,PASSED
